potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
0,Low,7,CALIFORNIA,A,R408,,,f,f,f,O,2
850000000,Med,5,VIRGINIA,D,F108,,0000: UNKNOWN,f,f,f,S,51
747720.25,High,6,WASHINGTON,C,Q701,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS",f,f,f,O,1
119248,Low,3,MASSACHUSETTS,A,R499,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,3
15798409,Med,3,TEXAS,A,T009,,,f,f,f,S,1
13328716.26,High,10,MAINE,D,Z1AZ,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,t,f,S,1
88938.06,Low,5,VIRGINIA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,4
1579002.39,Med,4,VIRGINIA,A,R425,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
19772,Low,3,MISSOURI,F,5410,B,,f,f,f,S,4
213702,Low,1,CALIFORNIA,D,AJ11,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,1
41230,Low,6,NORTH CAROLINA,A,R499,C,0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS,f,f,f,O,2
105397.5,Low,1,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,3
451470,Med,1,VIRGINIA,A,R499,C,00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING,f,f,f,O,1
498530,Med,1,CALIFORNIA,A,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,t,f,S,6
209974.1,Low,3,VIRGINIA,A,B528,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,1
66153.92,Low,5,COLORADO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,f,f,S,1
275000000,Med,5,CALIFORNIA,D,F108,,0000: UNKNOWN,f,f,f,S,20
8615.4,Low,3,NEW JERSEY,F,R606,B,00E3: ADMINISTRATIVE LAW,t,f,f,S,1
56850,Low,8,NEW YORK,F,D317,B,0000: UNKNOWN;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
15544390.42,Med,21,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
952200.5,High,5,VIRGINIA,A,U008,,,t,f,f,S,3
600766.31,Med,7,MARYLAND,A,R499,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,4
258857,Med,5,MASSACHUSETTS,A,F115,C,0053: DRINKING WATER PROGRAMS;00D4: SURFACE WATER PROTECTION,f,f,f,S,1
281112,Med,1,VIRGINIA,A,R499,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
5636768.8,Med,6,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
2080550,High,1,VIRGINIA,A,F999,A,00J7: GREAT LAKES RESTORATION,f,f,f,S,1
99992.14,Low,1,MICHIGAN,D,AJ11,D,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,185
99998.63,Low,1,CALIFORNIA,D,AJ11,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,185
213234.87,Low,6,MISSOURI,A,R429,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,O,1
19589.73,Low,2,COLORADO,D,R425,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,t,f,f,S,1
4998125.02,Med,19,NORTH CAROLINA,A,R499,C,0000: UNKNOWN;0054: ENDOCRINE DISRUPTORS,f,f,f,O,2
2879100,High,5,VIRGINIA,A,F999,A,0043: BROWNFIELDS;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
1162315.49,Med,14,VIRGINIA,A,R430,A,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O,1
627554,Med,3,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
1566745.82,Med,15,COLORADO,A,F999,C,00C9: SUPERFUND:  FEDERAL FACILITIES,t,t,f,S,2
36383,Low,0,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
96286,Low,6,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
885900,Med,3,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
789900,Med,2,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
24740393.63,Med,37,VIRGINIA,A,D399,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,f,f,f,O,1
69695,Low,0,ALABAMA,F,4510,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,6
484841.46,Med,7,MARYLAND,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,2
20040,Low,0,CALIFORNIA,F,6640,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,S,5
2002400,Med,3,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
12249616.02,Med,78,VIRGINIA,A,R408,C,0000: UNKNOWN;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0071: HOMELAND SECURITY:  CRITICAL INFRASTRUCTURE PROTECTION;00A1: RCRA:  WASTE MANAGEMENT;00D8: TRI / RIGHT TO KNOW;00F1: EXCHANGE NETWORK;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,f,f,f,O,6
13379,Low,0,NORTH CAROLINA,G,U005,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,1
364373.97,Med,12,OHIO,D,C1DB,C,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S,3
410962.8,Med,0,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
5000000,Med,0,MICHIGAN,A,F999,,,f,f,f,S,3
875000,High,8,OHIO,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
47815.2,Low,4,FLORIDA,C,J099,B,0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00A1: RCRA:  WASTE MANAGEMENT;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,f,O,1
255000000,Med,5,GEORGIA,D,F108,,0000: UNKNOWN,f,f,f,S,16
145538.58,Low,2,VIRGINIA,A,7A21,A,0076: INDOOR AIR:  RADON PROGRAM;00H5: REDUCE RISKS FROM INDOOR AIR,f,f,f,O,1
5000,Low,1,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
386120,Med,0,MARYLAND,A,F103,A,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
916961,Med,0,MICHIGAN,F,7A21,B,00F8: IT / DATA MANAGEMENT,f,f,f,S,2
258270.67,Med,7,MASSACHUSETTS,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,1
74000,Low,0,ALABAMA,F,4510,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,7
356502,Med,0,NEW HAMPSHIRE,C,6710,B,0057: ENVIRONMENTAL JUSTICE,f,f,f,O,1
259851,Med,8,VIRGINIA,A,R499,C,0000: UNKNOWN;00D4: SURFACE WATER PROTECTION,f,f,f,O,8
364807.02,Med,0,VIRGINIA,A,AJ11,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
151097,Low,2,VIRGINIA,A,R408,A,0063: GEOGRAPHIC PROGRAM:  CHESAPEAKE BAY,f,f,f,O,1
540919.21,Med,28,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0043: BROWNFIELDS;0057: ENVIRONMENTAL JUSTICE;0090: NEPA IMPLEMENTATION;00A4: REGULATORY INNOVATION,f,f,f,O,1
93129,Low,0,OHIO,A,F999,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,1
49599,Low,3,VIRGINIA,A,R499,A,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,1
501002.04,Med,16,MARYLAND,D,F999,C,0000: UNKNOWN;00E9: ENVIRONMENTAL EDUCATION,f,f,f,S,1
280914.96,Med,4,DISTRICT OF COLUMBIA,A,7A21,C,00F5: HUMAN RESOURCES MANAGEMENT,f,t,f,S,2
425273.51,Med,0,MASSACHUSETTS,A,6640,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
61088.86,Low,0,DISTRICT OF COLUMBIA,D,7A21,C,0052: CRIMINAL ENFORCEMENT,t,t,f,S,2
8425473.59,Med,2,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
2275740.66,High,4,MARYLAND,D,D325,C,00J7: GREAT LAKES RESTORATION,f,f,f,S,9
3696417.84,Med,16,MARYLAND,D,D399,C,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,t,f,S,1
913818.43,High,22,MARYLAND,D,R408,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;0402: SUPERFUND:  REMEDIAL;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,t,S,1
101.93,Low,3,OHIO,D,F108,C,"0000: UNKNOWN;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S,1
311667.84,Med,0,VIRGINIA,D,T001,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,f,f,S,1
28374.78,Low,3,SOUTH CAROLINA,G,5820,B,00F8: IT / DATA MANAGEMENT;0608: IT / DATA MANAGEMENT,f,f,f,O,1
3920647.87,Med,2,GEORGIA,D,M1GZ,D,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S,1
69482.12,Low,1,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
22671761.07,Med,9,VIRGINIA,D,DF01,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,t,t,f,S,1
34729.44,Low,4,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
712138.42,Med,1,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
2543509.81,Med,11,MISSOURI,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,2
368947.18,Med,9,FLORIDA,A,W069,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,f,f,S,1
234914,Low,7,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0097: RADIATION:  PROTECTION;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION,f,f,f,O,1
1,Low,2,CALIFORNIA,G,B599,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,t,f,S,1
858512,Med,2,VIRGINIA,A,R425,C,0067: GEOGRAPHIC PROGRAM:  LONG ISLAND SOUND;00J7: GREAT LAKES RESTORATION,f,f,f,O,1
180422,Low,1,TENNESSEE,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O,1
15440608.85,Med,38,LOUISIANA,B,F999,,0000: UNKNOWN;0306: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;0307: SUPERFUND:  ENFORCEMENT;0402: SUPERFUND:  REMEDIAL,f,t,f,S,1
6300,Low,0,NEW JERSEY,F,Z1BG,B,00F8: IT / DATA MANAGEMENT,f,f,f,S,4
10713.54,Low,0,IDAHO,F,7A21,B,00F8: IT / DATA MANAGEMENT,f,f,f,S,2
467549,Med,7,CALIFORNIA,D,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
13602353,Med,3,MASSACHUSETTS,A,F115,A,00H4: DIESEL EMISSIONS REDUCTION GRANT PROGRAM;00VF: CLEAN HEAVY DUTY VEHICLES,f,f,f,O,1
73545843.8,High,8,MASSACHUSETTS,A,R499,,,f,f,f,O,6
107185.74,Low,2,DELAWARE,F,6632,B,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
432979.2,Med,1,MASSACHUSETTS,A,6695,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
4243516.61,Med,7,PENNSYLVANIA,A,M1AZ,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
62476952.7,High,32,VIRGINIA,C,D399,,,f,f,f,O,1
248751.47,Low,8,MARYLAND,A,J074,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,t,t,f,S,2
30000,Low,2,MASSACHUSETTS,A,F999,A,00A4: REGULATORY INNOVATION,f,f,f,O,1
1376285.86,Med,2,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
94621.44,Low,2,VIRGINIA,A,F115,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
17755,Low,1,ALABAMA,G,J066,B,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION,f,f,f,S,1
365604076.8,Med,25,VIRGINIA,A,DD01,C,00F8: IT / DATA MANAGEMENT,f,f,f,O,4
11085,Low,0,MARYLAND,G,T006,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",f,f,f,S,1
11619412.32,Med,75,MASSACHUSETTS,A,B510,D,"0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM;0053: DRINKING WATER PROGRAMS;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;00D4: SURFACE WATER PROTECTION;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;0404: SURFACE WATER PROTECTION;1106: RESEARCH: AIR, CLIMATE AND ENERGY;3046: CLIMATE PROTECTION PROGRAM;3061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;3084: HUMAN HEALTH RISK ASSESSMENT",f,f,f,O,2
13766898.91,High,1,VIRGINIA,A,DF01,A,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S,1
61613.2,Low,0,NEW HAMPSHIRE,A,6640,C,0084: HUMAN HEALTH RISK ASSESSMENT,f,f,f,O,3
78332.64,Low,6,DELAWARE,A,J066,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
189873.8,Low,3,MARYLAND,A,7110,A,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,f,f,S,1
100193,Low,0,MASSACHUSETTS,C,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
633224.64,Med,5,MARYLAND,D,F108,C,0099: RCRA: CORRECTIVE ACTION,f,f,f,S,2
15000,Low,1,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
231403,Low,2,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
31968.89,Low,3,MASSACHUSETTS,A,J066,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
3919808.83,Med,23,PENNSYLVANIA,A,F108,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C8: SUPERFUND:  EPA EMERGENCY PREPAREDNESS;00D2: SUPERFUND:  REMEDIAL",f,f,f,O,1
13062.41,Low,0,COLORADO,D,R425,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,S,1
22704.79,Low,0,VIRGINIA,A,6640,C,00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,S,1
28891.68,Low,0,NEW HAMPSHIRE,D,7B21,C,0052: CRIMINAL ENFORCEMENT,f,f,f,S,8
43992,Low,0,ILLINOIS,F,6640,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,S,1
530000,Med,4,WISCONSIN,B,F107,D,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J7: GREAT LAKES RESTORATION,f,t,f,S,1
522682.08,Med,0,VIRGINIA,D,F108,C,00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S,1
775975,Med,2,CALIFORNIA,A,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S,6
899457,Med,3,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
15242745,Med,1,MARYLAND,A,F115,A,00CG: AIR POLLUTION;00H9: REGULATORY/ECONOMIC-MANAGEMENT AND ANALYSIS;00ND: STATE/TRIBE/LOCAL GOV'T OUTREACH,f,f,f,O,1
9045,Low,1,FLORIDA,G,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
54650.88,Low,2,PENNSYLVANIA,A,B510,C,0000: UNKNOWN;0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,1
6493622.66,Med,28,TENNESSEE,A,D319,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00F1: EXCHANGE NETWORK;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,O,2
7542944,High,14,TENNESSEE,A,R499,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O,1
7197701.8,High,5,CALIFORNIA,A,F099,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0008: CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC);0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF;0081: INFRASTRUCTURE ASSISTANCE:? DRINKING WATER SRF;00L8: SAFE WATER FOR SMALL AND DISADVANTAGES COMMUNITIES,f,f,f,O,1
221965.29,Low,0,VIRGINIA,A,AJ11,C,0063: GEOGRAPHIC PROGRAM:  CHESAPEAKE BAY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
11406.2,Low,0,CALIFORNIA,D,7A21,C,0099: RCRA: CORRECTIVE ACTION,t,f,f,S,3
178594,Low,3,TENNESSEE,A,H399,C,0000: UNKNOWN;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
50000,Low,1,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
265000,Med,4,GEORGIA,A,6830,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
80416.86,Low,2,KENTUCKY,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
356114.98,Med,0,VIRGINIA,C,F999,C,00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS,f,f,f,O,1
29233,Low,0,CALIFORNIA,F,B532,B,0052: CRIMINAL ENFORCEMENT;0057: ENVIRONMENTAL JUSTICE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00D7: TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,f,O,1
139461.77,Low,0,VIRGINIA,A,R799,C,00G5: SCIENCE ADVISORY BOARD,t,f,f,S,1
10986.36,Low,0,MICHIGAN,A,7B21,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,14
217282.65,Low,12,VIRGINIA,D,F108,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S,5
60000,Low,0,COLORADO,C,6640,B,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
216456,Low,8,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
