potential_total_value_of_award,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code
280914.96,DISTRICT OF COLUMBIA,A,7A21,C,00F5: HUMAN RESOURCES MANAGEMENT,f,t,f,S
425273.51,MASSACHUSETTS,A,6640,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O
61088.86,DISTRICT OF COLUMBIA,D,7A21,C,0052: CRIMINAL ENFORCEMENT,t,t,f,S
8425473.59,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
2275740.66,MARYLAND,D,D325,C,00J7: GREAT LAKES RESTORATION,f,f,f,S
3696417.84,MARYLAND,D,D399,C,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,t,f,S
913818.43,MARYLAND,D,R408,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;0402: SUPERFUND:  REMEDIAL;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,t,S
101.93,OHIO,D,F108,C,"0000: UNKNOWN;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,S
311667.84,VIRGINIA,D,T001,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,f,f,S
28374.78,SOUTH CAROLINA,G,5820,B,00F8: IT / DATA MANAGEMENT;0608: IT / DATA MANAGEMENT,f,f,f,O
3920647.87,GEORGIA,D,M1GZ,D,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,S
69482.12,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
22671761.07,VIRGINIA,D,DF01,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,t,t,f,S
34729.44,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
712138.42,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
2543509.81,MISSOURI,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
368947.18,FLORIDA,A,W069,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,f,f,S
234914,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0097: RADIATION:  PROTECTION;00H3: CHILDREN & OTHER SENSITIVE POPULATIONS: AGENCY COORDINATION,f,f,f,O
1,CALIFORNIA,G,B599,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,t,f,S
858512,VIRGINIA,A,R425,C,0067: GEOGRAPHIC PROGRAM:  LONG ISLAND SOUND;00J7: GREAT LAKES RESTORATION,f,f,f,O
180422,TENNESSEE,A,R499,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,O
15440608.85,LOUISIANA,B,F999,,0000: UNKNOWN;0306: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;0307: SUPERFUND:  ENFORCEMENT;0402: SUPERFUND:  REMEDIAL,f,t,f,S
6300,NEW JERSEY,F,Z1BG,B,00F8: IT / DATA MANAGEMENT,f,f,f,S
10713.54,IDAHO,F,7A21,B,00F8: IT / DATA MANAGEMENT,f,f,f,S
467549,CALIFORNIA,D,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,t,f,S
13602353,MASSACHUSETTS,A,F115,A,00H4: DIESEL EMISSIONS REDUCTION GRANT PROGRAM;00VF: CLEAN HEAVY DUTY VEHICLES,f,f,f,O
73545843.8,MASSACHUSETTS,A,R499,,,f,f,f,O
107185.74,DELAWARE,F,6632,B,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O
432979.2,MASSACHUSETTS,A,6695,C,0053: DRINKING WATER PROGRAMS,f,f,f,O
4243516.61,PENNSYLVANIA,A,M1AZ,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
62476952.7,VIRGINIA,C,D399,,,f,f,f,O
248751.47,MARYLAND,A,J074,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,t,t,f,S
30000,MASSACHUSETTS,A,F999,A,00A4: REGULATORY INNOVATION,f,f,f,O
1376285.86,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
94621.44,VIRGINIA,A,F115,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
17755,ALABAMA,G,J066,B,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION,f,f,f,S
365604076.8,VIRGINIA,A,DD01,C,00F8: IT / DATA MANAGEMENT,f,f,f,O
11085,MARYLAND,G,T006,A,"00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS",f,f,f,S
11619412.32,MASSACHUSETTS,A,B510,D,"0000: UNKNOWN;0046: CLIMATE PROTECTION PROGRAM;0053: DRINKING WATER PROGRAMS;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;00D4: SURFACE WATER PROTECTION;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;0404: SURFACE WATER PROTECTION;1106: RESEARCH: AIR, CLIMATE AND ENERGY;3046: CLIMATE PROTECTION PROGRAM;3061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;3084: HUMAN HEALTH RISK ASSESSMENT",f,f,f,O
13766898.91,VIRGINIA,A,DF01,A,00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,t,f,S
61613.2,NEW HAMPSHIRE,A,6640,C,0084: HUMAN HEALTH RISK ASSESSMENT,f,f,f,O
78332.64,DELAWARE,A,J066,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O
189873.8,MARYLAND,A,7110,A,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,t,f,f,S
100193,MASSACHUSETTS,C,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
633224.64,MARYLAND,D,F108,C,0099: RCRA: CORRECTIVE ACTION,f,f,f,S
15000,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
231403,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
31968.89,MASSACHUSETTS,A,J066,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
3919808.83,PENNSYLVANIA,A,F108,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C8: SUPERFUND:  EPA EMERGENCY PREPAREDNESS;00D2: SUPERFUND:  REMEDIAL",f,f,f,O
13062.41,COLORADO,D,R425,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,S
22704.79,VIRGINIA,A,6640,C,00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,S
28891.68,NEW HAMPSHIRE,D,7B21,C,0052: CRIMINAL ENFORCEMENT,f,f,f,S
43992,ILLINOIS,F,6640,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,S
530000,WISCONSIN,B,F107,D,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J7: GREAT LAKES RESTORATION,f,t,f,S
522682.08,VIRGINIA,D,F108,C,00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S
775975,CALIFORNIA,A,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,f,f,S
899457,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
15242745,MARYLAND,A,F115,A,00CG: AIR POLLUTION;00H9: REGULATORY/ECONOMIC-MANAGEMENT AND ANALYSIS;00ND: STATE/TRIBE/LOCAL GOV'T OUTREACH,f,f,f,O
9045,FLORIDA,G,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O
54650.88,PENNSYLVANIA,A,B510,C,0000: UNKNOWN;0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O
6493622.66,TENNESSEE,A,D319,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00F1: EXCHANGE NETWORK;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",t,f,f,O
7542944,TENNESSEE,A,R499,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,O
7197701.8,CALIFORNIA,A,F099,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0008: CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC);0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF;0081: INFRASTRUCTURE ASSISTANCE:? DRINKING WATER SRF;00L8: SAFE WATER FOR SMALL AND DISADVANTAGES COMMUNITIES,f,f,f,O
221965.29,VIRGINIA,A,AJ11,C,0063: GEOGRAPHIC PROGRAM:  CHESAPEAKE BAY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
11406.2,CALIFORNIA,D,7A21,C,0099: RCRA: CORRECTIVE ACTION,t,f,f,S
178594,TENNESSEE,A,H399,C,0000: UNKNOWN;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O
50000,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S
265000,GEORGIA,A,6830,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
80416.86,KENTUCKY,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
356114.98,VIRGINIA,C,F999,C,00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS,f,f,f,O
29233,CALIFORNIA,F,B532,B,0052: CRIMINAL ENFORCEMENT;0057: ENVIRONMENTAL JUSTICE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00D7: TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,f,O
139461.77,VIRGINIA,A,R799,C,00G5: SCIENCE ADVISORY BOARD,t,f,f,S
10986.36,MICHIGAN,A,7B21,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S
217282.65,VIRGINIA,D,F108,C,0000: UNKNOWN;00C9: SUPERFUND:  FEDERAL FACILITIES,f,f,f,S
60000,COLORADO,C,6640,B,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
216456,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
749008.26,VIRGINIA,A,F115,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
115942.76,CALIFORNIA,C,6640,B,0057: ENVIRONMENTAL JUSTICE;00D2: SUPERFUND:  REMEDIAL,f,f,f,S
12500000,MICHIGAN,A,F999,,,f,f,f,O
229794.43,NOORD-HOLLAND,G,D317,B,0000: UNKNOWN;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION,f,f,f,O
1392687.88,MASSACHUSETTS,A,R410,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S
943336.95,DISTRICT OF COLUMBIA,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
55650,OREGON,F,S208,B,"0000: UNKNOWN;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S
2667439.12,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
597108,MASSACHUSETTS,A,R425,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,S
442225.32,VIRGINIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
650000,GEORGIA,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
124010,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,S
6542735.55,MISSISSIPPI,D,F999,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
10804281,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
115835.37,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
65592.72,OREGON,F,6640,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,S
70620.8,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S
